기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상 가구
2015,종로구,소계,61580,22776,15314,11272,8840,2535,628,215
2015,중구,소계,51205,19161,13157,9392,6987,1879,483,146
2015,용산구,소계,90313,31025,23776,17826,13222,3436,788,240
2015,성동구,소계,114719,35259,28415,24622,20125,4748,1220,330
2015,광진구,소계,147718,54210,33112,28603,24511,5595,1284,403
2015,동대문구,소계,146677,52884,34156,28136,23382,6029,1615,475
2015,중랑구,소계,157537,45138,40248,34528,28363,7145,1680,435
2015,성북구,소계,174257,52005,41763,37428,32357,8118,2009,577
2015,강북구,소계,125666,35787,33501,27585,21533,5501,1332,427
2015,도봉구,소계,124981,27348,33003,30482,26199,6138,1401,410
2015,노원구,소계,204836,46129,49939,49483,46752,10096,1950,487
2015,은평구,소계,179752,43936,48337,41330,34509,8975,2087,578
2015,서대문구,소계,121034,40160,29851,24236,20088,5073,1242,384
2015,마포구,소계,154981,52437,38851,30747,25100,6117,1357,372
2015,양천구,소계,163823,32832,38206,41332,39905,9160,1889,499
2015,강서구,소계,217636,56990,55553,50022,42244,10129,2117,581
2015,구로구,소계,156528,40988,39731,35289,30641,7547,1840,492
2015,금천구,소계,93443,31219,22485,19099,15649,3816,904,271
2015,영등포구,소계,147745,48433,36647,30391,24698,5811,1369,396
2015,동작구,소계,161000,53954,38290,32701,27457,6660,1525,413
2015,관악구,소계,228636,100302,51894,37713,29232,7290,1709,496
2015,서초구,소계,154031,37496,37093,35934,32829,8255,1828,596
2015,강남구,소계,211357,61897,51614,45477,40514,9322,1974,559
2015,송파구,소계,230941,53481,55654,55334,51635,11717,2449,671
2015,강동구,소계,164094,39897,39877,38478,35173,8344,1867,458
